结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-05-19 19:00:16.469261,2012,222.50.124.90,NULL,53kf.com,53kf.com,广东铁通TOPn网站,0.58,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,122.227.58.188,中国,浙江, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:16.674203,2004,222.50.124.58,NULL,google.cn,google.cn,NULL,0.50,69.52,121.33,365.31,436.53,638.81,638.81,31.22,57.1,100.00,100.00,100.00,100.00,100.00,203.208.46.177,中国,北京, 其它运营商,13.6,12.7,301,3,3
2013-05-19 19:00:17.072342,2011,222.50.124.86,NULL,go9go.cn,go9go.cn,NULL,0.46,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,112.84.190.146,中国,江苏, 联通,NULL,0.0,500,1,1
2013-05-19 19:00:17.072740,2010,222.50.124.82,NULL,weather.com.cn,weather.com.cn,广东铁通TOPn网站,0.18,51.57,58.97,216.57,8747.08,12305.22,13432.00,67.86,54.3,100.00,97.80,100.00,97.80,100.00,61.4.185.35,中国,NULL, 其它运营商,593.6,566.6,200,50,91
2013-05-19 19:00:17.538506,1003,222.50.124.18,NULL,funshion.net,funshion.net,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:17.690487,2013,222.50.124.94,NULL,163.com,163.com,广东铁通TOPn网站,0.25,32.74,33.56,11066.49,10992.58,11066.49,11066.49,7.67,46.7,100.00,100.00,100.00,100.00,100.00,123.58.180.7,中国,浙江, 移动,84.4,84.2,301,2,2
2013-05-19 19:00:17.692249,2017,222.50.124.110,NULL,qunar.com,qunar.com,NULL,0.47,37.05,37.59,271.82,1421.68,1775.18,1910.83,110.59,71.7,100.00,57.89,100.00,57.89,0.00,59.151.61.62,中国,北京, 其它运营商,157.2,153.1,301,19,19
2013-05-19 19:00:17.804952,2014,222.50.124.98,NULL,zaobao.com,zaobao.com,NULL,1.06,37.78,39.68,84.07,4612.74,8796.83,8889.28,56.11,60.4,98.63,98.63,100.00,98.63,100.00,202.27.28.10,新西兰,NULL, 其它运营商,258.8,231.7,301,50,73
2013-05-19 19:00:18.400155,2006,222.50.124.66,NULL,sina.com.cn,sina.com.cn,广东铁通TOPn网站,0.24,89.90,381.66,748.57,2745.48,3591.03,3981.21,106.08,55.6,100.00,96.67,100.00,96.67,100.00,202.108.33.60,中国,北京, 其它运营商,291.2,281.6,301,30,30
2013-05-19 19:00:18.400511,2006,222.50.124.66,NULL,china.com,china.com,NULL,0.41,83.23,84.90,841.10,9742.94,13456.14,14084.98,106.14,56.2,100.00,93.62,100.00,93.62,100.00,221.194.139.60,中国,河北, 联通,1034.2,1218.3,200,50,94
2013-05-19 19:00:18.507346,1009,222.50.124.50,NULL,taomee.com,taomee.com,广东铁通TOPn网站,0.39,70.02,70.62,1268.05,20877.06,24246.81,24246.81,3.30,38.1,100.00,100.00,100.00,100.00,100.00,114.80.99.112,中国,上海, 电信,69.0,115.8,301,8,8
2013-05-19 19:00:18.700291,2009,222.50.124.78,NULL,baidu-2img.cn,baidu-2img.cn,广东铁通TOPn网站,NULL,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,0.00,0.00,0.00,0.00,0.0.0.0,NULL,NULL,NULL,NULL,NULL,NULL,1,1
2013-05-19 19:00:18.700598,广东铁通6-gddx(bgp)联通出口,110.209.253.254,NULL,51job.com,51job.com,NULL,0.25,30.15,216.64,278.84,4777.73,6366.28,6658.74,67.93,51.7,100.00,100.00,100.00,100.00,100.00,61.129.48.158,中国,上海, 电信,324.5,305.7,200,50,55
2013-05-19 19:00:18.930220,2017,222.50.124.110,NULL,2345.com,2345.com,NULL,0.26,30.41,38.58,160.64,780.30,1056.21,1157.41,95.24,73.7,100.00,100.00,100.00,100.00,100.00,42.62.4.52,中国,NULL, 其它运营商,74.3,70.3,200,12,12
2013-05-19 19:00:19.198257,1008,222.50.124.46,NULL,it168.com,it168.com,NULL,0.53,30.01,30.19,970.00,11073.12,16903.87,17826.29,93.01,58.9,100.00,100.00,100.00,100.00,100.00,223.202.33.211,中国,北京, 移动,1029.9,1324.0,301,50,72
2013-05-19 19:00:19.221899,1015,222.50.124.54,NULL,zhcw.com,zhcw.com,NULL,0.42,56.30,57.56,349.82,35960.91,58423.18,58423.18,14.76,35.3,100.00,98.08,100.00,79.69,0.00,221.123.177.58,中国,北京, 其它运营商,530.7,522.6,301,50,64
2013-05-19 19:00:19.332475,2005,222.50.124.62,NULL,a963.com,a963.com,NULL,0.51,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,183.60.227.210,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:20.848374,2005,222.50.124.62,NULL,qidian.com,qidian.com,NULL,0.44,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,202.102.67.78,中国,江苏, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:21.428680,2009,222.50.124.78,NULL,aliexpress.com,aliexpress.com,NULL,0.43,21.63,22.13,179.67,4115.96,5685.22,6084.11,252.70,83.9,100.00,100.00,100.00,100.00,100.00,110.75.216.6,中国,浙江, 移动,1040.1,2161.0,301,50,116
2013-05-19 19:00:21.951416,1006,222.50.124.42,NULL,iqiyi.com,iqiyi.com,广东铁通TOPn网站,0.48,36.22,36.52,371.54,7698.77,11223.06,12110.31,135.97,68.6,100.00,99.34,100.00,99.34,100.00,220.181.115.55,中国,北京, 电信,1046.8,2477.3,301,50,152
2013-05-19 19:00:21.952386,2018,222.50.124.114,NULL,51wan.com,51wan.com,NULL,0.41,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,117.79.89.104,中国,北京, 其它运营商,NULL,NULL,NULL,1,1
2013-05-19 19:00:22.069562,1004,222.50.124.22,NULL,7k7k.com,7k7k.com,广东铁通TOPn网站,0.26,32.82,32.96,237.37,4145.58,5549.60,6243.28,93.08,67.3,100.00,100.00,100.00,100.00,100.00,115.182.59.33,中国,北京, 移动,385.9,361.9,301,50,65
2013-05-19 19:00:22.182425,1003,222.50.124.18,NULL,dayoo.com,dayoo.com,NULL,0.47,52.59,53.74,635.57,12241.40,16716.01,17977.77,85.29,56.5,100.00,100.00,100.00,100.00,100.00,59.42.241.165,中国,广东, 电信,1044.0,1224.6,301,50,120
2013-05-19 19:00:22.493198,1012,222.50.124.14,NULL,jrj.com.cn,jrj.com.cn,NULL,0.22,38.57,38.77,5549.72,55212.08,59966.63,59966.63,3.70,34.3,100.00,100.00,100.00,63.79,0.00,59.151.53.160,中国,北京, 其它运营商,204.4,206.3,301,37,58
2013-05-19 19:00:22.767954,1008,222.50.124.46,NULL,aibang.com,aibang.com,NULL,0.23,35.98,55.98,2277.77,4584.79,4926.24,4926.24,18.75,54.0,100.00,100.00,100.00,100.00,100.00,60.28.205.202,中国,天津, 联通,86.0,81.6,301,8,8
2013-05-19 19:00:22.768069,1014,222.50.124.30,NULL,chinamobile.com,chinamobile.com,NULL,0.26,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,211.136.27.3,中国,北京, 移动,NULL,NULL,NULL,1,1
2013-05-19 19:00:23.597861,2005,222.50.124.62,NULL,google.co.uk,google.co.uk,NULL,0.39,91.33,92.97,488.31,677.32,1046.35,1046.35,82.98,68.5,100.00,100.00,100.00,100.00,100.00,74.125.31.94,美国,NULL, 其它运营商,56.2,54.5,301,4,4
2013-05-19 19:00:23.657207,2009,222.50.124.78,NULL,chinagames.net,chinagames.net,广东铁通TOPn网站,0.21,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,183.60.26.199,中国,广东, 电信,NULL,NULL,NULL,1,1
2013-05-19 19:00:24.116846,1016,222.50.124.130,NULL,ccidnet.com,ccidnet.com,NULL,1.03,28.48,38.09,561.88,40035.53,42851.99,46504.86,25.80,36.3,100.00,100.00,100.00,100.00,0.00,118.145.25.32,中国,北京, 移动,1032.8,1539.7,200,50,103
2013-05-19 19:00:24.584653,1013,222.50.124.26,NULL,sourceforge.net,sourceforge.net,NULL,0.43,296.54,336.18,929.00,7345.27,11211.25,11507.99,36.34,36.9,100.00,94.44,100.00,94.44,100.00,216.34.181.60,美国,NULL, 其它运营商,266.9,260.9,200,18,18
2013-05-19 19:00:25.030466,1016,222.50.124.130,NULL,163.com,163.com,NULL,0.44,0.81,123.87,582.57,10741.76,12474.57,13888.59,56.85,51.5,100.00,100.00,100.00,100.00,100.00,123.58.180.8,中国,浙江, 移动,610.7,584.9,301,50,73
2013-05-19 19:00:25.693709,1014,222.50.124.30,NULL,2345.com,2345.com,广东铁通TOPn网站,0.22,33.84,42.00,179.22,796.68,1100.33,1200.81,93.29,73.5,100.00,100.00,100.00,100.00,100.00,42.62.4.52,中国,NULL, 其它运营商,74.3,70.3,200,12,12
2013-05-19 19:00:25.780362,2018,222.50.124.114,NULL,55bbs.com,55bbs.com,NULL,0.46,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,118.67.120.217,中国,北京, 其它运营商,NULL,NULL,NULL,1,1
2013-05-19 19:00:25.790383,2009,222.50.124.78,NULL,xinnet.com,xinnet.com,NULL,0.41,48.81,51.45,864.12,12187.48,20528.50,25535.74,55.62,50.8,100.00,100.00,100.00,100.00,100.00,210.51.171.206,中国,北京, 联通,677.9,663.3,301,35,35
